city,station_name,station_number,variable,bom_statistic_label,number_of_years,start_year,end_year,source_page,source_csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,days_ge_40,Mean number of days >= 40 °C for years 1887 to 2026,101,1887,2026,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,mean_rain_mm,Mean rainfall (mm) for years 1839 to 2026,149,1839,2026,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,rain_days,Mean number of days of rain for years 1839 to 2026,149,1839,2026,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,rain_days_ge_1mm,Mean number of days of rain >= 1 mm for years 1839 to 2026,149,1839,2026,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,rain_days_ge_10mm,Mean number of days of rain >= 10 mm for years 1839 to 2026,149,1839,2026,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,rain_days_ge_25mm,Mean number of days of rain >= 25 mm for years 1839 to 2026,149,1839,2026,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,sunshine_hours,Mean daily sunshine (hours) for years 1955 to 1977,23,1955,1977,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,solar_exposure_mj_m2,Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2026,36,1990,2026,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,clear_days,Mean number of clear days for years 1955 to 1977,22,1955,1977,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,cloudy_days,Mean number of cloudy days for years 1955 to 1977,22,1955,1977,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,rh_9am,Mean 9am relative humidity (%) for years 1955 to 1979,24,1955,1979,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,rh_3pm,Mean 3pm relative humidity (%) for years 1955 to 1977,22,1955,1977,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,cloud_9am,Mean 9am cloud cover (okas) for years 1955 to 1979,24,1955,1979,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
Adelaide,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),023000,cloud_3pm,Mean 3pm cloud cover (oktas) for years 1955 to 1977,22,1955,1977,https://www.bom.gov.au/climate/averages/tables/cw_023000_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0034_023000.csv
